rota
ASTORGA
FLORESTOPOLIS
PORECATU
PRADO FERREIRA
MIRASELVA
CENTENARIO DO SUL
LUPIONOPOLIS
NOVA ESPERANCA
MARISTELA
PRESIDENTE CASTELO BRANCO
ALTO PARANA
SANTA FE
ATALAIA
ANGULO
IGUARACU
LOBATO
FLORIDA
MUNHOZ DE MELLO
BANDEIRANTE DO OESTE
PARANA DO OESTE
MOREIRA SALLES
GOIO-ERE
NOVA AURORA
IV CENTENARIO
PALMITAL
BOA ESPERANCA
JANIOPOLIS
FAROL
SARANDI/MANDAGUARI
JESUITAS
ASSIS CHATEAUBRIAND
IRACEMA
SABAUDIA
PITANGUEIRAS
JAGUAPITA
GUARACI
PARANACITY
ALTO ALEGRE
NOSSA SENHORA DAS GRACAS
BENTOPOLIS
COLORADO
PARAISO DO NORTE
SAO CARLOS DO IVAI
TAMBOARA
SAO JORGE DO IVAI
FLORAI
DR. CAMARGO
OURIZONA
DOURADINA
CIDADE GAUCHA
IVATE
NOVA OLIMPIA
RONDON
GUAIRA
TERRA ROXA
CAFEZAL DO SUL
MARECHAL CANDIDO RONDON
MARIPA
MERCEDES
NOVA SANTA ROSA
FRANCISCO ALVES
PALOTINA
UNIFLOR
IPORA
MARIA HELENA
TAPIRA
UMUARAMA
SARANDI
MARIALVA
GUARAPUAVA
CASCAVEL
COLOMBO
PARANAGUA
MEDIANEIRA
FAZENDA RIO GRANDE
UBIRATA
TERRA BOA
TAPEJARA
ALTONIA
PEROLA
CRUZEIRO DO OESTE
ALTO PIQUIRI
CAMBE
LONDRINA
APUCARANA
ARICANDUVA
PIRAPO
CAIXA SAO PEDRO
ARAPONGAS
ROLANDIA
SAO MARTINHO
PONTA GROSSA
PEABIRU
NOVA LONDRINA
LOANDA
SANTA IZABEL DO IVAI
QUERENCIA DO NORTE
SAO JOSE DO IVAI
SANTA MONICA
SANTA CRUZ DO MONTE CASTELO
ITAUNA DO SUL
DIAMANTE DO NORTE
FOZ DO IGUACU
JOAQUIM TAVORA
LAPA
IRATI
SAO JOSE DOS PINHAIS
UNIAO DA VITORIA
PALMEIRA
MAMBORE
JURANDA
CAMPO LARGO
CURITIBA
FLORESTA
ENGENHEIRO BELTRAO
IVAILANDIA
CAMPO MOURAO
ICARAIMA
PEROBAL
ELISA
VILA ALTA
URAI
ALTONIA LUIZ HUMBERTO
ARAPONGAS ANTONIO LUIZ
ASSIS CHATEAUBRIAND LUIZ HUMBERTO
ICARAIMA - (NORIVAL)
UMUARAMA LUIZ HUMBERTO
ASSAI
TUPASSI
QUEDAS DO IGUACU
UBIRATA LUIZ HUMBERTO
CRUZEIRO DO OESTE LUIZ HUMBERTO
PALMITAL LUIZ HUMBERTO
PRUDENTOPOLIS
TERRA RICA
NOVA AURORA LUIZ HUMBERTO
IVATUBA
TERRA BOA LUIZ HUMBERTO
CAMPINA DA LAGOA
CORRECAO SARANDI
SAO MATEUS DO SUL
SABAUDIA - AMARILDO
JAGUAPITA - AMARILDO
EXTORNO COMISSAO
PAICANDU
MANDAGUACU
NOVA CANTU
GUARANIACU
SANTA FE - LOBATO - FLORIDA
MARINGA
DESCONTO CARGA ANTERIOR
SABAUDIA (VERONA)
GUAIRACA
ICARA
CENT.DO SUL
APUCARANA (DIST VENEZA)
BELA VISTA\GUAIRA
ESPERANCA NOVA
ALMIRANTE TAMANDARE
COMISSAO QUE FALTOU
PIRAQUARA
TOLEDO
TERRA NOVA DO PIQUIRI
STA ZELIA
TUPINAMBA
MANDAGUARI
CASA BRANCA
ASTORGA - DIVERSOS
DIVERSOS
WENCESLAU BRAZ
PATO BRANCO
LARANJEIRAS DO SUL
CHOPINZINHO
PARANAVAI
AGUA BOA
FORMOSA DO OESTE
QUATIGUA
IGUATEMI
TUPASI
PINHAIS
IBIPORA
CORRECAO
QUINTA DO SOL
IRETAMA
QUITANDINHA
ARAUCARIA
PIEN
IRETMA
ARARUNA
ITAMBE
MARILENA
ADEMAR DE BARROS
AMAPORA
SAO PEDRO DO PARANA
JANDAIA DO SUL
PONTE DO RIO PIQUIRI
PORTO UNIAO
ANAHY
CRUZ MACHADO
MAUA DA SERRA
FENAO DIAS
"LOBATO, SANTA FE, MUNHOZ DE MELLO."
VILA PRADO
ORTIGUEIRA
ARAPONGAS - ARLINDO
PAULA FREITAS
PAULO FRONTIN
MALLET
SABAUDIA - ARAPONGAS
ARAPONGAS/SABAUDIA
BITURUNA
SAB/ARAPONGAS
JARDIM ALEGRE
ARAPONGAS - DIRCEU
