app,categorias,nome,url,recurso_menu,recurso_herdado,restricao
riob,Workflow,Kanban RioB,/apps/riob#fretes,menu:ff935a546a9d0b49972e7baa,fretes,individual
riob,Workflow,Devolucoes RioB,/apps/riob#devolucoes,menu:a286912f80ffb3b316a52463,devolucoes,individual
riob,Workflow,Comissoes,/apps/riob#comissao,menu:27f02aae67f3a19141514d56,comissao,individual
riob,Workflow,Gestao de Frota RioB,/apps/riob#gestaofrota:registrar,menu:122bf0fb3cf0e1b1af7aab79,frota,individual
riob,Workflow,Processos Internos RioB,/apps/riob#processos,menu:96e9f50f8447659ff5841b30,processos,individual
riob,Workflow,Compras RioB,/apps/riob#workflow:compras,menu:83a21906c39d9539839d655f,compras,individual
riob,Monitor,Monitor Automacao RioB,/apps/riob#monitor:automacao,menu:41e7d2ea18b4cb21a2295456,automacao,individual
riob,Gestao,Custo do produto,/apps/riob#custoProduto,menu:02c382ce20308eaea2e5a983,custo_produto,individual
riob,Gestao,Lista da frota,/apps/riob#gestaofrota:lista,menu:d4fd540309c229e945b6c68d,frota,individual
riob,Gestao,Manutencoes,/apps/riob#gestaofrota:manutencao,menu:1f81be5be8bb6f392d6387d5,frota,individual
riob,Gestao,Trocas de oleo,/apps/riob#gestaofrota:oleo,menu:b413ba1eebe1811fbe466ecd,frota,individual
riob,Gestao,Trocas de pneus,/apps/riob#gestaofrota:pneu,menu:4a259ca19ba8d1e1728654c7,frota,individual
riob,Gestao,Abastecimentos,/apps/riob#gestaofrota:abastecimento,menu:aa89d02c818e242352edf726,frota,individual
riob,Gestao,Lavagens,/apps/riob#gestaofrota:lavagem,menu:bad8f24b7affcdf22a15bf3a,frota,individual
riob,Gestao,Previsao de compras,/apps/riob#compras:previsao,menu:3747cc034386363beebeef62,compras,individual
riob,Documentos,Documentacao RioB,/apps/riob/docs/,menu:a259b0683c1d1cd42891e9c3,config,individual
riob,Configurar,Logs,/apps/riob#config:logs,menu:5ff6d351e82be58d23bf9eb0,config,individual
riob,Configurar,Status,/apps/riob#config:status,menu:878fba509566ba6c3f519b8b,config,individual
riob,Configurar,SIP RioB,/apps/riob#config:sip,menu:f6d3f9959f8110d4ffc088da,config,individual
riob,Configurar,Vendas RioB,/apps/riob#config:vendas,menu:32ae10236c327175f8a57ff9,config,individual
riob,Configurar,Backup do RioB,/apps/riob#config:backup,menu:0882d4bad04e34071aed6638,config,individual
